t,X,Y,Z
1.729999999999999982e+00,-8.768129577857752821e+00,-7.688166430543590835e+00,2.868631839384627469e+01
1.739999999999999991e+00,-8.658896467476660419e+00,-7.556353337705359330e+00,2.858675467992192765e+01
1.750000000000000000e+00,-8.548050044943295234e+00,-7.435786104581062261e+00,2.847080779880647583e+01
1.760000000000000009e+00,-8.436862735112290679e+00,-7.327437203100387819e+00,2.834009722941823739e+01
1.770000000000000018e+00,-8.326568338415624382e+00,-7.232072079631762129e+00,2.819632638812500502e+01
1.780000000000000027e+00,-8.218346481136666881e+00,-7.150259699487909515e+00,2.804125169121968142e+01
1.790000000000000036e+00,-8.113309738625352097e+00,-7.082386817931730860e+00,2.787665536637321040e+01
1.800000000000000044e+00,-8.012493474170792496e+00,-7.028674794241539736e+00,2.770432232416584029e+01
1.810000000000000053e+00,-7.916848322381076386e+00,-6.989197832911141717e+00,2.752602115314880749e+01
1.820000000000000062e+00,-7.827235151759923681e+00,-6.963901651253998182e+00,2.734348909836669250e+01
1.830000000000000071e+00,-7.744422268536039766e+00,-6.952621718303719334e+00,2.715842072739356894e+01
1.840000000000000080e+00,-7.669084572769371277e+00,-6.955100370376318786e+00,2.697245987854561022e+01
1.850000000000000089e+00,-7.601804347038016552e+00,-6.971002271065432687e+00,2.678719441849058924e+01
1.860000000000000098e+00,-7.543073345352318881e+00,-6.999927837987033996e+00,2.660415330436529402e+01
1.870000000000000107e+00,-7.493295852536510537e+00,-7.041424398639397175e+00,2.642480544119802488e+01
1.880000000000000115e+00,-7.452792399129614331e+00,-7.094994959545496194e+00,2.625055984138076681e+01
1.890000000000000124e+00,-7.421803840905716321e+00,-7.160104575072960387e+00,2.608276662227664744e+01
1.900000000000000133e+00,-7.400495542671868598e+00,-7.236184385541494457e+00,2.592271841499622198e+01
1.910000000000000142e+00,-7.388961440724298058e+00,-7.322633460332522048e+00,2.577165179743092693e+01
1.919999999999999929e+00,-7.387227795333887848e+00,-7.418818633459465239e+00,2.563074840462502380e+01
1.929999999999999938e+00,-7.395256482458971270e+00,-7.524072559609349398e+00,2.550113540759811315e+01
1.939999999999999947e+00,-7.412947711560306630e+00,-7.637690251273900444e+00,2.538388508703658886e+01
1.949999999999999956e+00,-7.440142093328051764e+00,-7.758924385304346139e+00,2.528001326107262514e+01
1.959999999999999964e+00,-7.476622017060886805e+00,-7.886979692700432309e+00,2.519047635769286586e+01
1.969999999999999973e+00,-7.522112332351604813e+00,-8.021006770768023486e+00,2.511616695384481091e+01
1.979999999999999982e+00,-7.576280363786911387e+00,-8.160095683340806261e+00,2.505790763720540681e+01
1.989999999999999991e+00,-7.638735320796324224e+00,-8.303269743137636993e+00,2.501644308534554284e+01
2.000000000000000000e+00,-7.709027197809501963e+00,-8.449479900179088787e+00,2.499243030333307303e+01
2.010000000000000231e+00,-7.786645292624950088e+00,-8.597600190166890144e+00,2.498642701730607740e+01
2.020000000000000018e+00,-7.871016503285968469e+00,-8.746424724406610451e+00,2.499887829060048716e+01
