t,X,Y,Z
2.280000000000000249e+00,-9.434318957718577536e+00,-8.803209836307450686e+00,2.894652096125036067e+01
2.290000000000000036e+00,-9.365641577251537342e+00,-8.624709980426796818e+00,2.899315413456792712e+01
2.300000000000000266e+00,-9.286459294254981955e+00,-8.445491432664626430e+00,2.901571598519834083e+01
2.310000000000000053e+00,-9.197818905147562063e+00,-8.267926618867402766e+00,2.901432137996368965e+01
2.319999999999999840e+00,-9.100887996096705734e+00,-8.094269731749140107e+00,2.898943243660729507e+01
2.330000000000000071e+00,-8.996930133851876121e+00,-7.926615402835053281e+00,2.894182824314020053e+01
2.339999999999999858e+00,-8.887278891530137059e+00,-7.766865927140726100e+00,2.887256852078129654e+01
2.350000000000000089e+00,-8.773311666026065936e+00,-7.616707605551326310e+00,2.878295335503222674e+01
2.359999999999999876e+00,-8.656424179091979809e+00,-7.477596212107504137e+00,2.867448107686620418e+01
2.370000000000000107e+00,-8.538006445489276786e+00,-7.350751101704803503e+00,2.854880620161886284e+01
2.379999999999999893e+00,-8.419420850963334146e+00,-7.237157077755261625e+00,2.840769905991646382e+01
2.390000000000000124e+00,-8.301982823186138560e+00,-7.137572855263358385e+00,2.825300841981142241e+01
2.399999999999999911e+00,-8.186944412941508986e+00,-7.052544785714696118e+00,2.808662803837852806e+01
2.410000000000000142e+00,-8.075480941945720303e+00,-6.982424448515857307e+00,2.791046772598538794e+01
2.419999999999999929e+00,-7.968680726846589124e+00,-6.927388743962312745e+00,2.772642918197660578e+01
2.430000000000000160e+00,-7.867537762588919570e+00,-6.887461224759498180e+00,2.753638658331502498e+01
2.439999999999999947e+00,-7.772947146311118161e+00,-6.862533555323256707e+00,2.734217168668450171e+01
2.450000000000000178e+00,-7.685702946684939363e+00,-6.852386169676996097e+00,2.714556304172964829e+01
2.459999999999999964e+00,-7.606498172569427396e+00,-6.856707391613984015e+00,2.694827880522813146e+01
2.470000000000000195e+00,-7.535926466961447190e+00,-6.875110470408588803e+00,2.675197258617560792e+01
2.479999999999999982e+00,-7.474485144437860384e+00,-6.907148161235373784e+00,2.655823173111571478e+01
2.490000000000000213e+00,-7.422579199027214969e+00,-6.952324634938099379e+00,2.636857746802486346e+01
2.500000000000000000e+00,-7.380525931025674780e+00,-7.010104633615225289e+00,2.618446635651538301e+01
2.510000000000000231e+00,-7.348559872165749240e+00,-7.079919896129691637e+00,2.600729253399567753e+01
2.520000000000000018e+00,-7.326837725629173903e+00,-7.161172962629059668e+00,2.583839029515745267e+01
2.530000000000000249e+00,-7.315443078053288417e+00,-7.253238532379660874e+00,2.567903659082333689e+01
2.540000000000000036e+00,-7.314390682867522031e+00,-7.355462598379670425e+00,2.553045307847677492e+01
2.550000000000000266e+00,-7.323630156533733171e+00,-7.467159619353680888e+00,2.539380739888697391e+01
2.560000000000000053e+00,-7.343048970596800729e+00,-7.587608018838243318e+00,2.527021339060604532e+01
2.569999999999999840e+00,-7.372474662383160293e+00,-7.716044325820806016e+00,2.516072998731084454e+01
2.580000000000000071e+00,-7.411676225591368627e+00,-7.851656294949306059e+00,2.506635857343200513e+01
2.589999999999999858e+00,-7.460364679057160942e+00,-7.993575369164830136e+00,2.498803860340380822e+01
2.600000000000000089e+00,-7.518192847985618599e+00,-8.140868875397227811e+00,2.492664132186436987e+01
2.609999999999999876e+00,-7.584754427347757400e+00,-8.292532375451873605e+00,2.488296145929708914e+01
2.620000000000000107e+00,-7.659582432342550540e+00,-8.447482629114382746e+00,2.485770682320296743e+01
2.629999999999999893e+00,-7.742147176111489948e+00,-8.604551663365562320e+00,2.485148576221629213e+01
2.640000000000000124e+00,-7.831853950320294189e+00,-8.762482477729884423e+00,2.486479255268316635e+01
2.649999999999999911e+00,-7.928040619523463839e+00,-8.919926947142565510e+00,2.489799084663782835e+01
2.660000000000000142e+00,-8.029975374710293323e+00,-9.075446504928114777e+00,2.495129542843984183e+01
2.669999999999999929e+00,-8.136854923894818015e+00,-9.227516192885477864e+00,2.502475265479806765e+01
2.680000000000000160e+00,-8.247803426284868067e+00,-9.374532645385937002e+00,2.511822009782266818e+01
2.689999999999999947e+00,-8.361872499078495835e+00,-9.514826521521344560e+00,2.523134606898661048e+01
2.700000000000000178e+00,-8.478042639354942622e+00,-9.646679805478601821e+00,2.536354986637410391e+01
2.709999999999999964e+00,-8.595226404456044023e+00,-9.768348253270135118e+00,2.551400374798431514e+01
2.720000000000000195e+00,-8.712273679032646712e+00,-9.878089068760793623e+00,2.568161777640813881e+01
2.729999999999999982e+00,-8.827979321940567559e+00,-9.974193642283394112e+00,2.586502878811559825e+01
2.740000000000000213e+00,-8.941093428248631625e+00,-1.005502488483791446e+01,2.606259479490790909e+01
2.750000000000000000e+00,-9.050334358571454629e+00,-1.011905835020581534e+01,2.627239610614909893e+01
2.760000000000000231e+00,-9.154404579107048079e+00,-1.016492597397284392e+01,2.649224435003894129e+01
2.770000000000000018e+00,-9.252009222605360961e+00,-1.019146089774467612e+01,2.671970035650063835e+01
2.780000000000000249e+00,-9.341877127087842680e+00,-1.019774152082862351e+01,2.695210153661783536e+01
2.790000000000000036e+00,-9.422783942459968642e+00,-1.018313266704173969e+01,2.718659895764035639e+01
2.800000000000000266e+00,-9.493576725104825087e+00,-1.014732160893244739e+01,2.742020378469928232e+01
